   JD		  x [m]		  y [m]		  z [m]
   9.4907407e-02   5.3170799e+03   2.3867420e+03  -4.8671930e+03
   9.6064815e-02   5.5451328e+03   2.9541176e+03  -4.2692225e+03
   9.7222222e-02   5.7039432e+03   3.4850915e+03  -3.6169417e+03
   9.8379630e-02   5.7914074e+03   3.9731473e+03  -2.9181163e+03
   9.9537037e-02   5.8062106e+03   4.4122173e+03  -2.1810724e+03
   1.0069444e-01   5.7478464e+03   4.7967431e+03  -1.4146255e+03
   1.0185185e-01   5.6166335e+03   5.1217347e+03  -6.2800535e+02
   1.0300926e-01   5.4137288e+03   5.3828286e+03   1.6922393e+02
   1.0416667e-01   5.1411372e+03   5.5763466e+03   9.6724864e+02
   1.0532407e-01   4.8017162e+03   5.6993524e+03   1.7560980e+03
   1.0648148e-01   4.3991751e+03   5.7497089e+03   2.5257448e+03
   1.0763889e-01   3.9380655e+03   5.7261320e+03   3.2662155e+03
   1.0879630e-01   3.4237632e+03   5.6282409e+03   3.9677102e+03
   1.0995370e-01   2.8624359e+03   5.4566023e+03   4.6207336e+03
   1.1111111e-01   2.2609980e+03   5.2127650e+03   5.2162334e+03
   1.1226852e-01   1.6270471e+03   4.8992826e+03   5.7457477e+03
   1.1342593e-01   9.6878314e+02   4.5197203e+03   6.2015549e+03
   1.1458333e-01   2.9490764e+02   4.0786432e+03   6.5768239e+03
   1.1574074e-01  -3.8549531e+02   3.5815824e+03   6.8657594e+03
   1.1689815e-01  -1.0630959e+03   3.0349789e+03   7.0637345e+03
   1.1805556e-01  -1.7284698e+03   2.4461021e+03   7.1674078e+03
   1.1921296e-01  -2.3722600e+03   1.8229456e+03   7.1748160e+03
   1.2037037e-01  -2.9853446e+03   1.1741009e+03   7.0854385e+03
   1.2152778e-01  -3.5590039e+03   5.0861282e+02   6.9002301e+03
   1.2268519e-01  -4.0850817e+03  -1.6417882e+02   6.6216187e+03
   1.2384259e-01  -4.5561351e+03  -8.3480623e+02   6.2534681e+03
   1.2500000e-01  -4.9655665e+03  -1.4938433e+03   5.8010074e+03
   1.2615741e-01  -5.3077352e+03  -2.1320722e+03   5.2707291e+03
   1.2731481e-01  -5.5780445e+03  -2.7406413e+03   4.6702611e+03
