  JD		  x [m]		  y [m]		  z [m]   
   9.4907407e-02  -2.0899000e+06  -4.6567571e+06  -4.5247432e+06
   9.6064815e-02  -1.5462231e+06  -4.3894390e+06  -4.9820473e+06
   9.7222222e-02  -9.8318234e+05  -4.0671474e+06  -5.3767767e+06
   9.8379630e-02  -4.0781356e+05  -3.6938518e+06  -5.7038836e+06
   9.9537037e-02   1.7267620e+05  -3.2741513e+06  -5.9591254e+06
   1.0069444e-01   7.5098872e+05  -2.8132271e+06  -6.1391175e+06
   1.0185185e-01   1.3198163e+06  -2.3167879e+06  -6.2413777e+06
   1.0300926e-01   1.8719248e+06  -1.7910108e+06  -6.2643646e+06
   1.0416667e-01   2.4002382e+06  -1.2424755e+06  -6.2075063e+06
   1.0532407e-01   2.8979236e+06  -6.7809280e+05  -6.0712207e+06
   1.0648148e-01   3.3584765e+06  -1.0502763e+05  -5.8569268e+06
   1.0763889e-01   3.7758054e+06   4.6938353e+05  -5.5670445e+06
   1.0879630e-01   4.1443156e+06   1.0377206e+06  -5.2049832e+06
   1.0995370e-01   4.4589897e+06   1.5925724e+06  -4.7751186e+06
   1.1111111e-01   4.7154650e+06   2.1266333e+06  -4.2827546e+06
   1.1226852e-01   4.9101049e+06   2.6328027e+06  -3.7340723e+06
   1.1342593e-01   5.0400634e+06   3.1042860e+06  -3.1360630e+06
   1.1458333e-01   5.1033407e+06   3.5346952e+06  -2.4964470e+06
   1.1574074e-01   5.0988271e+06   3.9181475e+06  -1.8235773e+06
   1.1689815e-01   5.0263350e+06   4.2493594e+06  -1.1263286e+06
   1.1805556e-01   4.8866156e+06   4.5237334e+06  -4.1397531e+05
   1.1921296e-01   4.6813607e+06   4.7374365e+06   3.0394250e+05
   1.2037037e-01   4.4131875e+06   4.8874657e+06   1.0177601e+06
   1.2152778e-01   4.0856066e+06   4.9717015e+06   1.7178342e+06
   1.2268519e-01   3.7029736e+06   4.9889447e+06   2.3946911e+06
   1.2384259e-01   3.2704253e+06   4.9389380e+06   3.0391718e+06
   1.2500000e-01   2.7938017e+06   4.8223700e+06   3.6425729e+06
   1.2615741e-01   2.2795553e+06   4.6408633e+06   4.1967781e+06
   1.2731481e-01   1.7346512e+06   4.3969448e+06   4.6943780e+06
   1.2847222e-01   1.1664593e+06   4.0940024e+06   5.1287769e+06
   1.2962963e-01   5.8264181e+05   3.7362269e+06   5.4942832e+06
   1.3078704e-01  -8.9620625e+03   3.3285424e+06   5.7861834e+06
   1.3194444e-01  -6.0045072e+05   2.8765270e+06   6.0007984e+06
   1.3310185e-01  -1.1839733e+06   2.3863246e+06   6.1355227e+06
   1.3425926e-01  -1.7518388e+06   1.8645517e+06   6.1888460e+06
   1.3541667e-01  -2.2966194e+06   1.3181996e+06   6.1603586e+06
   1.3657407e-01  -2.8112478e+06   7.5453376e+05   6.0507412e+06
   1.3773148e-01  -3.2891064e+06   1.8099310e+05   5.8617397e+06
   1.3888889e-01  -3.7241078e+06  -3.9491090e+05   5.5961271e+06
