t[s]		X[m]			Y[m]			Z[m]
0.0	-9928116.049172074	-1590475.238469835	-5422880.102049874
120.0	-1.016052190490204E7	-2083868.8833306753	-4584785.053761972
240.0	-1.0254925718898885E7	-2540231.0666595344	-3750779.3059007744
360.0	-1.0227382317896212E7	-2956491.3641193537	-2938166.604475269
480.0	-1.0093268695437603E7	-3331597.669765556	-2159671.348850286
600.0	-9866723.273015138	-3665780.471042401	-1424532.8889629692
720.0	-9560469.056863833	-3960038.2225434612	-739401.2755520795
840.0	-9185839.498625763	-4215790.390427551	-109029.60273704026
960.0	-8752900.170692474	-4434649.388948455	463207.0760733783
1080.0	-8270607.325295062	-4618273.706301948	974929.1872918475
1200.0	-7746972.918060235	-4768275.238203218	1424473.0177122122
1320.0	-7189221.760893247	-4886162.288889676	1810687.2500942498
1440.0	-6603935.175772812	-4973305.787895136	2132785.368297494
1560.0	-5997180.040759446	-5030920.476567188	2390239.0447193664
1680.0	-5374624.341251777	-5060055.662005854	2582701.800688614
1800.0	-4741641.341064152	-5061592.044268482	2709955.365666
1920.0	-4103404.869523501	-5036242.408192355	2771873.496068701
2040.0	-3464978.310391866	-4984554.85336184	2768399.7743159095
2160.0	-2831399.851085985	-4906917.866656005	2699537.28031082
2280.0	-2207766.4958210737	-4803567.0290503185	2565349.1628548168

